scheme,source_code,source_label,analysis_code,analysis_label,mapping_kind,n_2010_in_group,n_2018_in_group
2018,8830,Photographic Process Workers and Processing Machine Operators,8830,Photographic Process Workers and Processing Machine Operators,one_to_one,1,1
2018,8850,Adhesive Bonding Machine Operators and Tenders,8850,Adhesive Bonding Machine Operators and Tenders,one_to_one,1,1
2018,8865,Other Production Equipment Operators and Tenders,8865,Other Production Equipment Operators and Tenders,merged,2,1
2018,8910,Etchers and Engravers,8910,Etchers and Engravers,one_to_one,1,1
2018,8920,"Molders, Shapers, and Casters, Except Metal and Plastic",8920,"Molders, Shapers, and Casters, Except Metal and Plastic",one_to_one,1,1
2018,8930,"Paper Goods Machine Setters, Operators, and Tenders",8930,"Paper Goods Machine Setters, Operators, and Tenders",one_to_one,1,1
2018,8940,Tire Builders,8940,Tire Builders,one_to_one,1,1
2018,8950,Helpers--Production Workers,8950,Helpers--Production Workers,one_to_one,1,1
2018,8990,Other Production Workers,8990,Other Production Workers,merged,2,1
2018,9005,Supervisors of Transportation and Material Moving Workers,9005,Supervisors of Transportation and Material Moving Workers,one_to_one,1,1
2018,9010,Housewife / Homemaker,9010,Housewife / Homemaker,supplemental_not_in_labor_force,1,1
2018,9020,Volunteer,9020,Volunteer,supplemental_not_in_labor_force,1,1
2018,9030,Aircraft Pilots and Flight Engineers,9030,Aircraft Pilots and Flight Engineers,one_to_one,1,1
2018,9040,Air Traffic Controllers and Airfield Operations Specialists,9040,Air Traffic Controllers and Airfield Operations Specialists,one_to_one,1,1
2018,9050,Flight Attendants,9050,Flight Attendants,one_to_one,1,1
2018,9060,Retired,9060,Retired,supplemental_not_in_labor_force,1,1
2018,9070,Student,9070,Student,supplemental_not_in_labor_force,1,1
2018,9100,Did not work / Child or Infant / Patient / Disabled / Inmate / Disabled Veteran,9100,Did not work / Child or Infant / Patient / Disabled / Inmate / Disabled Veteran,supplemental_not_in_labor_force,1,1
2018,9110,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",9110,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",one_to_one,1,1
2018,9121,"Bus Drivers, School",9121,Bus Drivers,split_collapsed,1,2
2018,9122,"Bus Drivers, Transit and Intercity",9121,Bus Drivers,split_collapsed,1,2
2018,9130,Driver/Sales Workers and Truck Drivers,9130,Driver/Sales Workers and Truck Drivers,one_to_one,1,1
2018,9141,Shuttle Drivers and Chauffeurs,9141,Taxi Drivers and Chauffeurs,split_collapsed,1,2
2018,9142,Taxi Drivers,9141,Taxi Drivers and Chauffeurs,split_collapsed,1,2
2018,9150,"Motor Vehicle Operators, All Other",9150,"Motor Vehicle Operators, All Other",one_to_one,1,1
2018,9210,Locomotive Engineers and Operators,9210,Locomotive Engineers and Operators,one_to_one,1,1
2018,9240,Railroad Conductors and Yardmasters,9240,Railroad Conductors and Yardmasters,one_to_one,1,1
2018,9265,Other Rail Transportation Workers,9265,Other Rail Transportation Workers,merged,2,1
2018,9300,Sailors and Marine Oilers,9300,Sailors and Marine Oilers,one_to_one,1,1
2018,9310,Ship and Boat Captains and Operators,9310,Ship and Boat Captains and Operators,one_to_one,1,1
2018,9330,Ship Engineers,9330,Ship Engineers,one_to_one,1,1
